filter,tp_pct,sl_pct,max_days,train_n,train_ev,train_tp_rate,train_sl_rate,train_sharpe,n,tp_rate,sl_rate,win_rate,ev,std,sharpe,total_ev,val_n,val_ev,val_tp_rate,val_sl_rate,generalize
㉝ 水・木 + RSI5<20,10.0,-3.0,3,4841,0.3193,3.18,27.14,0.1026,4841,3.18,27.14,49.89,0.3193,3.1113,0.1026,1545.6,691,0.5645,3.33,26.19,True
㉝ 水・木 + RSI5<20,7.0,-2.0,5,4841,0.3177,9.98,49.51,0.1061,4841,9.98,49.51,41.23,0.3177,2.9938,0.1061,1537.8,669,0.7775,10.76,43.2,True
⑰ RSI5<20 + DVS>20,10.0,-3.0,5,1727,0.3164,6.54,36.36,0.085,1727,6.54,36.36,43.72,0.3164,3.7218,0.085,546.4,239,0.8352,7.11,36.4,True
㉞ RSI5<10 + 水・木,10.0,-5.0,5,778,0.3152,7.97,21.21,0.0729,778,7.97,21.21,48.97,0.3152,4.3222,0.0729,245.2,95,1.0801,7.37,13.68,True
㉝ 水・木 + RSI5<20,7.0,-5.0,5,4841,0.3145,12.72,19.5,0.082,4841,12.72,19.5,52.18,0.3145,3.8364,0.082,1522.7,669,0.8666,14.05,17.04,True
⑰ RSI5<20 + DVS>20,10.0,-5.0,5,1727,0.3112,7.76,21.66,0.0729,1727,7.76,21.66,48.35,0.3112,4.267,0.0729,537.5,239,0.6893,8.79,25.52,True
㉞ RSI5<10 + 水・木,5.0,-3.0,5,778,0.3017,21.72,34.7,0.097,778,21.72,34.7,48.59,0.3017,3.111,0.097,234.7,95,0.8337,24.21,28.42,True
㉝ 水・木 + RSI5<20,10.0,-2.0,3,4841,0.2985,2.71,41.31,0.1062,4841,2.71,41.31,44.97,0.2985,2.8107,0.1062,1445.1,691,0.5577,3.04,39.22,True
㉝ 水・木 + RSI5<20,5.0,-3.0,5,4841,0.2984,19.79,34.44,0.097,4841,19.79,34.44,48.92,0.2984,3.076,0.097,1444.8,669,0.7401,22.57,30.49,True
㉞ RSI5<10 + 水・木,10.0,-5.0,3,778,0.2965,4.37,15.04,0.0825,778,4.37,15.04,53.21,0.2965,3.5932,0.0825,230.7,98,0.8637,4.08,8.16,True
⑱ RSI5<20 + 出来高1.5倍,10.0,-5.0,3,1737,0.2962,5.35,15.2,0.0771,1737,5.35,15.2,50.2,0.2962,3.8411,0.0771,514.6,227,0.4473,3.08,14.54,True
㉝ 水・木 + RSI5<20,10.0,-5.0,3,4841,0.2962,3.45,12.58,0.0863,4841,3.45,12.58,52.65,0.2962,3.432,0.0863,1433.9,691,0.6283,3.91,12.59,True
㊷ 直近5日-5% + RSI5<20,10.0,-5.0,5,3526,0.2867,12.54,34.37,0.0552,3526,12.54,34.37,46.68,0.2867,5.1984,0.0552,1011.0,547,0.3662,13.53,31.99,True
⑱ RSI5<20 + 出来高1.5倍,7.0,-2.0,5,1737,0.2854,11.17,52.96,0.0922,1737,11.17,52.96,39.09,0.2854,3.0964,0.0922,495.7,222,0.6907,11.26,46.4,True
㉕ RSI5<15 + DVS>0 + 月曜除外,10.0,-3.0,5,2195,0.2852,5.97,37.49,0.0775,2195,5.97,37.49,44.78,0.2852,3.6823,0.0775,626.1,325,0.3451,5.85,40.62,True
㉞ RSI5<10 + 水・木,7.0,-3.0,3,778,0.2851,6.81,27.76,0.0976,778,6.81,27.76,50.51,0.2851,2.9209,0.0976,221.8,98,0.4559,8.16,29.59,True
⑦ RSI5 < 10（極端売られすぎ）,10.0,-3.0,5,1909,0.2839,6.81,39.5,0.0744,1909,6.81,39.5,43.01,0.2839,3.8169,0.0744,541.9,215,0.749,7.44,33.49,True
㉞ RSI5<10 + 水・木,3.0,-3.0,3,778,0.2833,31.36,24.42,0.1196,778,31.36,24.42,55.66,0.2833,2.3685,0.1196,220.4,98,0.5323,35.71,23.47,True
⑰ RSI5<20 + DVS>20,10.0,-2.0,5,1727,0.2829,5.44,51.19,0.0856,1727,5.44,51.19,37.52,0.2829,3.3043,0.0856,488.5,239,0.8708,6.28,46.03,True
⑦ RSI5 < 10（極端売られすぎ）,10.0,-2.0,5,1909,0.2818,5.92,53.43,0.083,1909,5.92,53.43,36.88,0.2818,3.3945,0.083,538.0,215,0.7997,6.51,44.19,True
㉝ 水・木 + RSI5<20,10.0,-1.0,5,4841,0.2791,3.31,70.94,0.107,4841,3.31,70.94,26.77,0.2791,2.6089,0.107,1351.1,669,0.5967,3.44,63.98,True
㉞ RSI5<10 + 水・木,3.0,-3.0,5,778,0.2782,39.59,30.85,0.107,778,39.59,30.85,54.63,0.2782,2.5995,0.107,216.5,95,0.7676,48.42,23.16,True
㉞ RSI5<10 + 水・木,7.0,-1.5,5,778,0.2781,9.77,58.61,0.1006,778,9.77,58.61,34.83,0.2781,2.7655,0.1006,216.4,95,0.6871,9.47,50.53,True
㉞ RSI5<10 + 水・木,10.0,-1.0,3,778,0.277,2.7,63.11,0.1164,778,2.7,63.11,31.88,0.277,2.3805,0.1164,215.5,98,0.3343,2.04,60.2,True
⑰ RSI5<20 + DVS>20,7.0,-3.0,5,1727,0.2762,12.28,35.67,0.0814,1727,12.28,35.67,44.7,0.2762,3.3923,0.0814,476.9,239,0.7985,12.55,35.56,True
㉝ 水・木 + RSI5<20,5.0,-5.0,5,4841,0.2705,21.81,18.74,0.0767,4841,21.81,18.74,53.63,0.2705,3.5287,0.0767,1309.6,669,0.7887,25.11,16.14,True
⑱ RSI5<20 + 出来高1.5倍,5.0,-3.0,5,1737,0.2696,21.82,38.51,0.0846,1737,21.82,38.51,47.96,0.2696,3.1854,0.0846,468.3,222,0.6986,24.32,32.88,True
㉝ 水・木 + RSI5<20,5.0,-2.0,5,4841,0.267,17.25,48.69,0.0985,4841,17.25,48.69,42.35,0.267,2.7106,0.0985,1292.6,669,0.713,20.78,41.85,True
㉔ RSI5<20 + 月曜除外,10.0,-3.0,5,9742,0.2655,5.02,37.57,0.074,9742,5.02,37.57,45.51,0.2655,3.5907,0.074,2587.0,1290,0.5916,5.89,35.27,True
㊷ 直近5日-5% + RSI5<20,10.0,-3.0,5,3526,0.2647,10.66,53.57,0.0595,3526,10.66,53.57,38.03,0.2647,4.4519,0.0595,933.4,547,0.3534,11.33,50.27,True
