limit_pct,period,Date,equity
-0.7,TRAIN,2024-10-15,86.7585371938077
-0.7,TRAIN,2024-10-16,87.04200550766788
-0.7,TRAIN,2024-10-17,86.20450341836764
-0.7,TRAIN,2024-10-18,84.57218263178834
-0.7,TRAIN,2024-10-21,82.43719380043964
-0.7,TRAIN,2024-10-22,80.05506450203369
-0.7,TRAIN,2024-10-23,80.57499852684613
-0.7,TRAIN,2024-10-24,81.31467976387158
-0.7,TRAIN,2024-10-25,84.23253943491481
-0.7,TRAIN,2024-10-28,85.27158069187387
-0.7,TRAIN,2024-10-29,84.90977133969571
-0.7,TRAIN,2024-10-30,84.37489896032156
-0.7,TRAIN,2024-10-31,85.11802929901287
-0.7,TRAIN,2024-11-01,86.59057842052204
-0.7,TRAIN,2024-11-04,86.59057842052204
-0.7,TRAIN,2024-11-05,87.5042760855207
-0.7,TRAIN,2024-11-06,88.06160641503435
-0.7,TRAIN,2024-11-07,87.44074714478003
-0.7,TRAIN,2024-11-08,87.50336260231626
-0.7,TRAIN,2024-11-11,86.20608119506326
-0.7,TRAIN,2024-11-12,85.60150302209631
-0.7,TRAIN,2024-11-13,85.30250095034647
-0.7,TRAIN,2024-11-14,86.16886762141898
-0.7,TRAIN,2024-11-15,87.6924064817155
-0.7,TRAIN,2024-11-18,88.46754270739854
-0.7,TRAIN,2024-11-19,89.14285183874581
-0.7,TRAIN,2024-11-20,89.64888942866618
-0.7,TRAIN,2024-11-21,89.98467645420747
-0.7,TRAIN,2024-11-22,88.78592686192934
-0.7,TRAIN,2024-11-25,87.91393163238024
-0.7,TRAIN,2024-11-26,87.88306964595031
-0.7,TRAIN,2024-11-27,89.10368072267104
-0.7,TRAIN,2024-11-28,90.21112222404571
-0.7,TRAIN,2024-11-29,90.42503788612004
-0.7,TRAIN,2024-12-02,89.73104095262191
-0.7,TRAIN,2024-12-03,89.10025743707517
-0.7,TRAIN,2024-12-04,89.33147384009001
-0.7,TRAIN,2024-12-05,89.57579349993013
-0.7,TRAIN,2024-12-06,89.26932168556718
-0.7,TRAIN,2024-12-09,89.39124755009843
-0.7,TRAIN,2024-12-10,89.61207974453981
-0.7,TRAIN,2024-12-11,89.15176829253895
-0.7,TRAIN,2024-12-12,89.13899118924365
-0.7,TRAIN,2024-12-13,88.41545758432518
-0.7,TRAIN,2024-12-16,87.96094576509672
-0.7,TRAIN,2024-12-17,87.22122711973589
-0.7,TRAIN,2024-12-18,87.86314531627573
-0.7,TRAIN,2024-12-19,86.83206891885385
-0.7,TRAIN,2024-12-20,87.04569563219931
-0.7,TRAIN,2024-12-23,87.38657094390899
-0.7,TRAIN,2024-12-24,89.06045562105291
-0.7,TRAIN,2024-12-25,90.71830657328663
-0.7,TRAIN,2024-12-26,90.91416257735814
-0.7,TRAIN,2024-12-27,90.53366885213838
-0.7,TRAIN,2024-12-30,89.55056978770547
-0.7,TRAIN,2024-12-31,89.55056978770547
-0.7,TRAIN,2025-01-01,89.55056978770547
-0.7,TRAIN,2025-01-02,89.55056978770547
-0.7,TRAIN,2025-01-03,89.55056978770547
-0.7,TRAIN,2025-01-06,88.26300279026896
-0.7,TRAIN,2025-01-07,87.20934599356231
-0.7,TRAIN,2025-01-08,85.61437091917556
-0.7,TRAIN,2025-01-09,84.68465926512715
-0.7,TRAIN,2025-01-10,83.0418245884869
-0.7,TRAIN,2025-01-13,83.0418245884869
-0.7,TRAIN,2025-01-14,82.7737641033458
-0.7,TRAIN,2025-01-15,82.77493927241333
-0.7,TRAIN,2025-01-16,83.2797915141996
-0.7,TRAIN,2025-01-17,84.1456247683825
-0.7,TRAIN,2025-01-20,84.14404216908814
-0.7,TRAIN,2025-01-21,84.7458276968857
-0.7,TRAIN,2025-01-22,85.16116470030937
-0.7,TRAIN,2025-01-23,85.56163772656647
-0.7,TRAIN,2025-01-24,86.3389867462353
-0.7,TRAIN,2025-01-27,87.34348173922496
-0.7,TRAIN,2025-01-28,87.4295423262761
-0.7,TRAIN,2025-01-29,85.99922380520749
-0.7,TRAIN,2025-01-30,84.57794764173713
-0.7,TRAIN,2025-01-31,84.47828404380331
-0.7,TRAIN,2025-02-03,85.29928756655022
-0.7,TRAIN,2025-02-04,85.20414973590245
-0.7,TRAIN,2025-02-05,85.05650869606114
-0.7,TRAIN,2025-02-06,85.49863976844021
-0.7,TRAIN,2025-02-07,87.27856772679662
-0.7,TRAIN,2025-02-10,87.25757885205624
-0.7,TRAIN,2025-02-11,87.25757885205624
-0.7,TRAIN,2025-02-12,86.59680084379121
-0.7,TRAIN,2025-02-13,86.18513944765783
-0.7,TRAIN,2025-02-14,86.06983096154606
-0.7,TRAIN,2025-02-17,85.30720285596391
-0.7,TRAIN,2025-02-18,83.88509104045605
-0.7,TRAIN,2025-02-19,82.97551766156946
-0.7,TRAIN,2025-02-20,82.29829650671957
-0.7,TRAIN,2025-02-21,82.31183112267387
-0.7,TRAIN,2025-02-24,82.31183112267387
-0.7,TRAIN,2025-02-25,81.24761461448891
-0.7,TRAIN,2025-02-26,81.76002130657494
-0.7,TRAIN,2025-02-27,81.73681535827592
-0.7,TRAIN,2025-02-28,81.51088821172974
-0.7,TRAIN,2025-03-03,82.65718991546626
-0.7,TRAIN,2025-03-04,82.89282058687063
-0.7,TRAIN,2025-03-05,82.3717075051888
-0.7,TRAIN,2025-03-06,81.74204203988535
-0.7,TRAIN,2025-03-07,81.2236089799442
-0.7,TRAIN,2025-03-10,82.10316775433984
-0.7,TRAIN,2025-03-11,82.60929937169622
-0.7,TRAIN,2025-03-12,83.58532906215615
-0.7,TRAIN,2025-03-13,85.49259137686197
